"","HDI Rank","Country","GNI","Life.exp","Edu.Exp","HDI","Edu.mean","GNI_HDI","GII Rank","Parli.F","Edu2.F","Mat.Mor","Ado.Birth","Edu2.M","GII","Labo.F","Labo.M","Edu2.FM","Labo2.FM"
"184",184,"Burundi",758,56.7,10.1,0.4,2.7,1,184,34.9,5.3,740,30.3,8.3,0.492,83.3,82,0.63855421686747,1.01585365853659
"185",185,"Chad",2085,51.6,7.4,0.392,1.9,-22,185,14.9,1.7,980,152,9.9,0.706,64,79.2,0.171717171717172,0.808080808080808
"186",186,"Eritrea",1130,63.7,4.1,0.391,3.9,-6,186,22,NA,380,65.3,NA,NA,80,89.8,NA,0.89086859688196
"187",187,"Central African Republic",581,50.7,7.2,0.35,4.2,1,187,12.5,10.1,880,98.3,26.7,0.655,72.6,85.1,0.378277153558052,0.853113983548766
"188",188,"Niger",908,61.4,5.4,0.348,1.5,-5,188,13.3,2.4,630,204.8,7.8,0.713,40,89.7,0.307692307692308,0.445930880713489
"189",NA,"Arab States",15722,70.6,12,0.686,6.4,NA,NA,14,34.7,155,45.4,47.6,0.537,23.2,75.3,0.728991596638656,0.308100929614874
"190",NA,"East Asia and the Pacific",11449,74,12.7,0.71,7.5,NA,NA,18.7,54.7,72,21.2,66.3,0.328,62.6,79.4,0.825037707390649,0.788413098236776
"191",NA,"Europe and Central Asia",12791,72.3,13.6,0.748,10,NA,NA,19,70.8,28,30.8,80.6,0.3,45.6,70,0.878411910669975,0.651428571428571
"192",NA,"Latin America and the Caribbean",14242,75,14,0.748,8.2,NA,NA,27,54.3,85,68.3,55.2,0.415,53.7,79.8,0.983695652173913,0.672932330827068
"193",NA,"South Asia",5605,68.4,11.2,0.607,5.5,NA,NA,17.5,29.1,183,38.7,54.6,0.536,29.8,80.3,0.532967032967033,0.371108343711083
"194",NA,"Sub-Saharan Africa",3363,58.5,9.6,0.518,5.2,NA,NA,22.5,22.1,506,109.7,31.5,0.575,65.4,76.6,0.701587301587302,0.85378590078329
"195",NA,"World",14301,71.5,12.2,0.711,7.9,NA,NA,21.8,54.5,210,47.4,65.4,0.449,50.3,76.7,0.833333333333333,0.655801825293351
